universe,symbol,name,market,source,as_of
KOSPI200,298050.KS,HS효성첨단소재,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000670.KS,영풍,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,137310.KS,에스디바이오센서,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,006650.KS,대한유화,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,071320.KS,지역난방공사,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,004490.KS,세방전지,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,285130.KS,SK케미칼,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,009240.KS,한샘,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,114090.KS,GKL,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,069260.KS,TKG휴켐스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,001680.KS,대상,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,003030.KS,세아제강지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,014820.KS,동원시스템즈,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,002840.KS,미원상사,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005250.KS,녹십자홀딩스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,268280.KS,미원에스씨,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005420.KS,코스모화학,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,008730.KS,율촌화학,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,002030.KS,아세아,KOSPI,Naver Finance KPI200,2026-06-04
